group,variable,value
Korea,Lesotho,0.001
Korea,Mauritius,0.000
Korea,Cuba,0.000
Korea,Central African Republic,0.002
Korea,"Macedonia, FYR",0.000
Korea,Guinea-Bissau,0.001
Korea,Guyana,0.001
Korea,Tajikistan,0.002
Korea,Eritrea,0.000
Korea,Croatia,0.000
Korea,Moldova,0.001
Korea,Djibouti,0.003
Korea,Bhutan,0.004
Korea,Swaziland,0.001
Korea,Uruguay,0.000
Korea,Gambia,0.000
Korea,Samoa,0.001
Korea,Belize,0.002
Korea,Turkmenistan,0.003
Korea,Comoros,0.000
Korea,Libya,0.005
Korea,Belarus,0.001
Korea,Maldives,0.002
United Arab Emirates,Indonesia,0.052
United Arab Emirates,India,0.065
United Arab Emirates,Egypt,6.895
United Arab Emirates,China,0.000
United Arab Emirates,Iraq,0.005
United Arab Emirates,Pakistan,1.113
United Arab Emirates,Philippines,0.000
United Arab Emirates,Bangladesh,0.258
United Arab Emirates,Afghanistan,0.600
United Arab Emirates,Viet Nam,0.000
United Arab Emirates,Tanzania,0.073
United Arab Emirates,Thailand,0.000
United Arab Emirates,Mozambique,0.001
United Arab Emirates,Turkey,0.216
United Arab Emirates,Nigeria,0.001
United Arab Emirates,Kenya,0.061
United Arab Emirates,Brazil,0.000
United Arab Emirates,Morocco,1.324
United Arab Emirates,"Congo, Democratic Republic of",0.193
United Arab Emirates,Mexico,0.000
United Arab Emirates,Ethiopia,0.012
United Arab Emirates,Sri Lanka,0.021
United Arab Emirates,Sudan,1.202
United Arab Emirates,Peru,0.000
United Arab Emirates,Papua New Guinea,0.000
United Arab Emirates,Zambia,0.000
United Arab Emirates,Ghana,0.001
United Arab Emirates,Jordan,2.787
United Arab Emirates,Colombia,0.000
United Arab Emirates,Tunisia,0.927
United Arab Emirates,Cameroon,0.012
United Arab Emirates,Cote d`Ivoire,0.001
United Arab Emirates,Uganda,0.056
United Arab Emirates,Bolivia,0.000
United Arab Emirates,Malaysia,0.032
United Arab Emirates,Senegal,0.113
United Arab Emirates,Palestinian Adm. Areas,0.360
United Arab Emirates,Nicaragua,0.000
United Arab Emirates,South Africa,0.001
United Arab Emirates,Algeria,0.477
United Arab Emirates,Myanmar,0.003
United Arab Emirates,Mali,0.175
United Arab Emirates,Argentina,0.000
United Arab Emirates,Haiti,0.005
United Arab Emirates,Zimbabwe,0.000
United Arab Emirates,Nepal,0.000
United Arab Emirates,Burkina Faso,0.013
United Arab Emirates,Honduras,0.000
United Arab Emirates,Malawi,0.021
United Arab Emirates,Madagascar,0.012
United Arab Emirates,Yemen,1.786
United Arab Emirates,Cambodia,0.000
United Arab Emirates,Somalia,0.506
United Arab Emirates,Venezuela,0.000
United Arab Emirates,Guatemala,0.000
United Arab Emirates,Angola,0.000
United Arab Emirates,Rwanda,0.012
United Arab Emirates,Syria,0.857
United Arab Emirates,Niger,0.033
United Arab Emirates,Bosnia-Herzegovina,0.001
United Arab Emirates,Lebanon,0.397
United Arab Emirates,"Congo, Republic of",0.027
United Arab Emirates,Ukraine,0.000
United Arab Emirates,Ecuador,0.000
United Arab Emirates,Jamaica,0.000
United Arab Emirates,Benin,0.012
United Arab Emirates,Dominican Republic,0.000
United Arab Emirates,Liberia,0.002
United Arab Emirates,Guinea,0.112
United Arab Emirates,Chile,0.000
United Arab Emirates,Laos,0.000
United Arab Emirates,Costa Rica,0.000
United Arab Emirates,Uzbekistan,0.000
United Arab Emirates,Iran,0.000
United Arab Emirates,Georgia,0.000
United Arab Emirates,Sierra Leone,0.006
United Arab Emirates,Chad,0.002
United Arab Emirates,Burundi,0.019
United Arab Emirates,Mauritania,0.224
United Arab Emirates,Albania,0.115
United Arab Emirates,Togo,0.001
United Arab Emirates,Mongolia,0.020
United Arab Emirates,Namibia,0.000
United Arab Emirates,Gabon,0.000
United Arab Emirates,Cape Verde,0.003
United Arab Emirates,Timor-Leste,0.000
United Arab Emirates,South Sudan,0.000
United Arab Emirates,Kazakhstan,0.130
United Arab Emirates,Armenia,0.011
United Arab Emirates,Paraguay,0.000
United Arab Emirates,Panama,0.000
United Arab Emirates,Azerbaijan,0.061
United Arab Emirates,Kosovo,0.001
United Arab Emirates,Kyrgyz Republic,0.015
United Arab Emirates,Lesotho,0.027
United Arab Emirates,Mauritius,0.013
United Arab Emirates,Cuba,0.000
United Arab Emirates,Central African Republic,0.000
United Arab Emirates,"Macedonia, FYR",0.000
United Arab Emirates,Guinea-Bissau,0.007
United Arab Emirates,Tajikistan,0.034
United Arab Emirates,Eritrea,0.081
United Arab Emirates,Moldova,0.000
United Arab Emirates,Djibouti,0.051
United Arab Emirates,Uruguay,0.000
United Arab Emirates,Gambia,0.017
United Arab Emirates,Samoa,0.005
United Arab Emirates,Belize,0.000
United Arab Emirates,Turkmenistan,0.076
United Arab Emirates,Comoros,0.049
United Arab Emirates,Libya,0.058
United Arab Emirates,Maldives,0.040
Austria,Indonesia,0.529
Austria,India,0.162
Austria,Egypt,0.518
Austria,China,1.143
Austria,Iraq,2.704
Austria,Pakistan,0.080
Austria,Philippines,0.161
Austria,Bangladesh,0.032
Austria,Israel,0.009
Austria,Afghanistan,0.107
Austria,Viet Nam,0.199
Austria,Russia,0.072
Austria,Tanzania,0.181
Austria,Thailand,0.074
Austria,Mozambique,0.207
Austria,Turkey,0.726
Austria,Nigeria,0.430
Austria,Kenya,0.077
Austria,Brazil,0.052
Austria,Morocco,0.058
Austria,"Congo, Democratic Republic of",0.177
Austria,Mexico,0.015
Austria,Ethiopia,0.193
Austria,Sri Lanka,0.094
Austria,Sudan,0.015
Austria,Peru,0.021
Austria,Papua New Guinea,0.009
Austria,Zambia,0.030
Austria,Ghana,0.120
Austria,Jordan,0.082
Austria,Colombia,0.020
Austria,Poland,0.033
Austria,Tunisia,0.129
Austria,Cameroon,1.190
Austria,Cote d`Ivoire,0.212
Austria,Uganda,0.300
Austria,Bolivia,0.359
Austria,Malaysia,0.090
Austria,Senegal,0.076
Austria,Palestinian Adm. Areas,0.111
Austria,Nicaragua,0.246
Austria,South Africa,0.029
Austria,Algeria,1.775
Austria,Myanmar,0.101
Austria,Mali,0.009
Austria,Serbia,0.696
Austria,Argentina,0.006
Austria,Haiti,0.014
Austria,Zimbabwe,0.040
Austria,Nepal,0.054
Austria,Burkina Faso,0.143
Austria,Honduras,0.023
Austria,El Salvador,0.028
Austria,Malawi,0.046
Austria,Madagascar,0.171
Austria,Yemen,0.002
Austria,Cambodia,0.004
Austria,Somalia,0.011
Austria,Venezuela,0.006
Austria,Guatemala,0.140
Austria,Angola,0.027
Austria,Rwanda,0.079
Austria,Syria,0.020
Austria,Niger,0.002
Austria,Bosnia-Herzegovina,0.871
Austria,Lebanon,0.164
Austria,"Congo, Republic of",0.001
Austria,Ukraine,0.093
Austria,Ecuador,0.006
Austria,Jamaica,0.000
Austria,Benin,0.001
Austria,Dominican Republic,0.000
Austria,Liberia,0.013
Austria,Guinea,0.023
Austria,Chile,0.006
Austria,Laos,0.015
Austria,Costa Rica,0.005
Austria,Uzbekistan,0.008
Austria,Iran,0.205
Austria,Georgia,0.113
Austria,Sierra Leone,0.041
Austria,Chad,0.051
Austria,Burundi,0.049
Austria,Mauritania,0.023
Austria,Albania,0.172
Austria,Botswana,0.000
Austria,Togo,0.055
Austria,Mongolia,0.018
Austria,Namibia,0.022
Austria,Gabon,0.000
Austria,Cape Verde,0.069
Austria,Timor-Leste,0.029
Austria,South Sudan,0.002
Austria,Solomon Islands,0.000
Austria,Kazakhstan,0.010
Austria,Armenia,0.037
Austria,Paraguay,0.000
Austria,Panama,0.000
Austria,Azerbaijan,0.010
Austria,Kosovo,0.152
Austria,Kyrgyz Republic,0.011
Austria,Lesotho,0.001
Austria,Mauritius,0.011
Austria,Cuba,0.114
Austria,Central African Republic,0.012
Austria,"Macedonia, FYR",0.072
Austria,Guinea-Bissau,0.004
Austria,Tajikistan,0.012
Austria,Eritrea,0.004
Austria,Croatia,0.112
Austria,Moldova,0.065
Austria,Bhutan,0.122
Austria,Swaziland,0.000
Austria,Uruguay,0.001
Austria,Gambia,0.037
Austria,Samoa,0.000
Austria,Belize,0.000
Austria,Turkmenistan,0.001
Austria,Comoros,0.000
Austria,Libya,0.006
Austria,Belarus,0.019
Austria,Maldives,0.000
Finland,Indonesia,0.096
Finland,India,0.183
Finland,Egypt,0.449
Finland,China,0.510
Finland,Iraq,0.063
Finland,Pakistan,0.112
Finland,Philippines,0.059
Finland,Bangladesh,0.197
Finland,Israel,0.002
Finland,Afghanistan,0.448
Finland,Viet Nam,0.790
Finland,Russia,0.101
Finland,Tanzania,1.400
Finland,Thailand,0.126
Finland,Mozambique,0.928
Finland,Turkey,0.069
Finland,Nigeria,0.028
Finland,Kenya,0.699
Finland,Brazil,0.026
Finland,Morocco,0.013
Finland,"Congo, Democratic Republic of",0.084
Finland,Mexico,0.036
Finland,Ethiopia,0.564
Finland,Sri Lanka,0.247
Finland,Sudan,0.315
Finland,Peru,0.161
Finland,Papua New Guinea,0.002
Finland,Zambia,0.781
Finland,Ghana,0.044
Finland,Jordan,0.013
Finland,Colombia,0.024
Finland,Poland,0.012
Finland,Tunisia,0.006
Finland,Cameroon,0.020
Finland,Cote d`Ivoire,0.009
Finland,Uganda,0.103
Finland,Bolivia,0.016
Finland,Malaysia,0.059
Finland,Senegal,0.039
Finland,Palestinian Adm. Areas,0.230
Finland,Nicaragua,0.565
Finland,South Africa,0.199
Finland,Algeria,0.006
Finland,Myanmar,0.067
Finland,Mali,0.008
Finland,Serbia,0.172
Finland,Argentina,0.003
Finland,Haiti,0.041
Finland,Zimbabwe,0.214
Finland,Nepal,0.521
Finland,Burkina Faso,0.015
Finland,Honduras,0.060
Finland,El Salvador,0.012
Finland,Malawi,0.038
Finland,Madagascar,0.003
Finland,Yemen,0.021
Finland,Cambodia,0.105
Finland,Somalia,0.218
Finland,Venezuela,0.004
Finland,Guatemala,0.023
Finland,Angola,0.068
Finland,Rwanda,0.033
Finland,Syria,0.020
Finland,Niger,0.009
Finland,Bosnia-Herzegovina,0.114
Finland,Lebanon,0.021
Finland,"Congo, Republic of",0.001
Finland,Ukraine,0.026
Finland,Ecuador,0.016
Finland,Jamaica,0.000
Finland,Benin,0.004
Finland,Dominican Republic,0.018
Finland,Liberia,0.042
Finland,Guinea,0.006
Finland,Chile,0.009
Finland,Laos,0.109
Finland,Costa Rica,0.045
Finland,Uzbekistan,0.007
Finland,Iran,0.023
Finland,Georgia,0.044
Finland,Sierra Leone,0.031
Finland,Chad,0.032
Finland,Burundi,0.020
Finland,Mauritania,0.004
Finland,Albania,0.016
Finland,Botswana,0.012
Finland,Togo,0.003
Finland,Mongolia,0.020
Finland,Namibia,0.291
Finland,Gabon,0.000
Finland,Cape Verde,0.000
Finland,Timor-Leste,0.039
Finland,South Sudan,0.048
Finland,Solomon Islands,0.000
Finland,Kazakhstan,0.003
Finland,Armenia,0.004
Finland,Paraguay,0.001
Finland,Panama,0.000
Finland,Azerbaijan,0.007
Finland,Kosovo,0.070
Finland,Kyrgyz Republic,0.032
Finland,Lesotho,0.002
Finland,Mauritius,0.005
Finland,Cuba,0.017
Finland,Central African Republic,0.020
Finland,"Macedonia, FYR",0.005
Finland,Guinea-Bissau,0.005
Finland,Guyana,0.001
Finland,Tajikistan,0.030
Finland,Eritrea,0.021
Finland,Croatia,0.005
Finland,Moldova,0.011
Finland,Djibouti,0.000
Finland,Bhutan,0.005
Finland,Swaziland,0.004
Finland,Uruguay,0.049
Finland,Gambia,0.002
Finland,Belize,0.000
Finland,Turkmenistan,0.001
Finland,Comoros,0.001
Finland,Libya,0.004
Finland,Belarus,0.009
Finland,Maldives,0.003
Portugal,Indonesia,0.006
Portugal,India,0.007
Portugal,Egypt,0.001
Portugal,China,0.032
Portugal,Iraq,0.036
Portugal,Pakistan,0.000
Portugal,Philippines,0.000
Portugal,Israel,0.000
Portugal,Afghanistan,0.074
Portugal,Viet Nam,0.000
Portugal,Russia,0.261
Portugal,Tanzania,0.000
Portugal,Thailand,0.001
Portugal,Mozambique,4.763
Portugal,Turkey,0.000
Portugal,Nigeria,0.001
Portugal,Kenya,0.000
Portugal,Brazil,0.047
Portugal,Morocco,0.244
Portugal,"Congo, Democratic Republic of",0.018
Portugal,Mexico,0.001
Portugal,Ethiopia,0.006
Portugal,Sri Lanka,0.002
Portugal,Sudan,0.004
Portugal,Peru,0.000
Portugal,Papua New Guinea,0.000
Portugal,Ghana,0.000
Portugal,Jordan,0.000
Portugal,Colombia,0.000
Portugal,Poland,0.001
Portugal,Tunisia,0.001
Portugal,Cameroon,0.000
Portugal,Cote d`Ivoire,0.001
Portugal,Bolivia,0.000
Portugal,Malaysia,0.001
Portugal,Senegal,0.003
Portugal,Palestinian Adm. Areas,0.011
Portugal,Nicaragua,0.000
Portugal,South Africa,0.008
Portugal,Algeria,0.014
Portugal,Myanmar,0.000
Portugal,Mali,0.000
Portugal,Serbia,0.084
Portugal,Argentina,0.002
Portugal,Haiti,0.003
Portugal,Zimbabwe,0.001
Portugal,Nepal,0.000
Portugal,Honduras,0.001
Portugal,El Salvador,0.001
Portugal,Madagascar,0.000
Portugal,Cambodia,0.000
Portugal,Somalia,0.000
Portugal,Venezuela,0.001
Portugal,Guatemala,0.001
Portugal,Angola,1.354
Portugal,Rwanda,0.008
Portugal,Syria,0.000
Portugal,Niger,0.000
Portugal,Bosnia-Herzegovina,0.099
Portugal,Lebanon,0.033
Portugal,"Congo, Republic of",0.000
Portugal,Ukraine,0.000
Portugal,Ecuador,0.000
Portugal,Jamaica,0.000
Portugal,Benin,0.000
Portugal,Dominican Republic,0.000
Portugal,Liberia,0.002
Portugal,Guinea,0.001
Portugal,Chile,0.001
Portugal,Laos,0.000
Portugal,Costa Rica,0.000
Portugal,Uzbekistan,0.000
Portugal,Iran,0.000
Portugal,Georgia,0.001
Portugal,Sierra Leone,0.013
Portugal,Chad,0.007
Portugal,Burundi,0.000
Portugal,Mauritania,0.001
Portugal,Albania,0.000
Portugal,Botswana,0.000
Portugal,Togo,0.000
Portugal,Namibia,0.003
Portugal,Gabon,0.000
Portugal,Cape Verde,1.261
Portugal,Timor-Leste,0.879
Portugal,Solomon Islands,0.000
Portugal,Kazakhstan,0.000
Portugal,Armenia,0.000
Portugal,Paraguay,0.000
Portugal,Panama,0.000
Portugal,Azerbaijan,0.000
Portugal,Kosovo,0.013
Portugal,Kyrgyz Republic,0.000
Portugal,Cuba,0.001
Portugal,Central African Republic,0.001
Portugal,"Macedonia, FYR",0.035
Portugal,Guinea-Bissau,0.591
Portugal,Tajikistan,0.000
Portugal,Eritrea,0.000
Portugal,Croatia,0.001
Portugal,Moldova,0.000
Portugal,Swaziland,0.000
Portugal,Uruguay,0.001
Portugal,Gambia,0.000
Portugal,Turkmenistan,0.000
Portugal,Comoros,0.000
Portugal,Libya,0.000
Portugal,Belarus,0.000
Portugal,Maldives,0.000
Ireland,Indonesia,0.011
Ireland,India,0.058
Ireland,Egypt,0.004
Ireland,China,0.010
Ireland,Iraq,0.028
Ireland,Pakistan,0.036
Ireland,Philippines,0.015
Ireland,Bangladesh,0.028
Ireland,Israel,0.000
Ireland,Afghanistan,0.088
Ireland,Viet Nam,0.153
Ireland,Russia,0.001
Ireland,Tanzania,0.571
Ireland,Thailand,0.004
Ireland,Mozambique,0.737
Ireland,Turkey,0.002
Ireland,Nigeria,0.027
Ireland,Kenya,0.137
Ireland,Brazil,0.018
Ireland,Morocco,0.001
Ireland,"Congo, Democratic Republic of",0.117
Ireland,Mexico,0.002
Ireland,Ethiopia,0.636
Ireland,Sri Lanka,0.009
Ireland,Sudan,0.161
Ireland,Peru,0.012
Ireland,Papua New Guinea,0.000
Ireland,Zambia,0.381
Ireland,Ghana,0.018
Ireland,Jordan,0.002
Ireland,Colombia,0.019
Ireland,Tunisia,0.000
Ireland,Cameroon,0.005
Ireland,Cote d`Ivoire,0.008
Ireland,Uganda,0.692
Ireland,Bolivia,0.008
Ireland,Malaysia,0.000
Ireland,Senegal,0.002
Ireland,Palestinian Adm. Areas,0.094
Ireland,Nicaragua,0.021
Ireland,South Africa,0.193
Ireland,Algeria,0.001
Ireland,Myanmar,0.016
Ireland,Mali,0.008
Ireland,Serbia,0.024
Ireland,Argentina,0.003
Ireland,Haiti,0.030
Ireland,Zimbabwe,0.105
Ireland,Nepal,0.011
Ireland,Burkina Faso,0.006
Ireland,Honduras,0.040
Ireland,El Salvador,0.023
Ireland,Malawi,0.178
Ireland,Madagascar,0.001
Ireland,Yemen,0.002
Ireland,Cambodia,0.027
Ireland,Somalia,0.084
Ireland,Venezuela,0.001
Ireland,Guatemala,0.016
Ireland,Angola,0.040
Ireland,Rwanda,0.037
Ireland,Syria,0.012
Ireland,Niger,0.027
Ireland,Bosnia-Herzegovina,0.016
Ireland,Lebanon,0.010
Ireland,"Congo, Republic of",0.001
Ireland,Ukraine,0.003
Ireland,Ecuador,0.001
Ireland,Jamaica,0.001
Ireland,Benin,0.001
Ireland,Dominican Republic,0.001
Ireland,Liberia,0.093
Ireland,Guinea,0.006
Ireland,Chile,0.002
Ireland,Laos,0.012
Ireland,Costa Rica,0.000
Ireland,Uzbekistan,0.001
Ireland,Iran,0.003
Ireland,Georgia,0.005
Ireland,Sierra Leone,0.130
Ireland,Chad,0.029
Ireland,Burundi,0.040
Ireland,Mauritania,0.004
Ireland,Albania,0.006
Ireland,Botswana,0.001
Ireland,Togo,0.001
Ireland,Mongolia,0.001
Ireland,Namibia,0.002
Ireland,Gabon,0.000
Ireland,Cape Verde,0.003
Ireland,Timor-Leste,0.075
Ireland,South Sudan,0.018
Ireland,Solomon Islands,0.000
Ireland,Kazakhstan,0.000
Ireland,Armenia,0.001
Ireland,Paraguay,0.001
Ireland,Azerbaijan,0.000
Ireland,Kosovo,0.009
Ireland,Kyrgyz Republic,0.001
Ireland,Lesotho,0.199
Ireland,Mauritius,0.000
Ireland,Cuba,0.001
Ireland,Central African Republic,0.025
Ireland,"Macedonia, FYR",0.002
Ireland,Guinea-Bissau,0.001
Ireland,Guyana,0.000
Ireland,Tajikistan,0.004
Ireland,Eritrea,0.019
Ireland,Moldova,0.002
Ireland,Djibouti,0.000
Ireland,Bhutan,0.000
Ireland,Swaziland,0.003
Ireland,Uruguay,0.000
Ireland,Gambia,0.004
Ireland,Samoa,0.000
Ireland,Belize,0.003
Ireland,Turkmenistan,0.000
Ireland,Comoros,0.000
Ireland,Libya,0.002
Ireland,Belarus,0.002
Ireland,Maldives,0.000
Luxembourg,Indonesia,0.007
Luxembourg,India,0.037
Luxembourg,Egypt,0.001
Luxembourg,China,0.022
Luxembourg,Iraq,0.014
Luxembourg,Pakistan,0.017
Luxembourg,Philippines,0.007
Luxembourg,Bangladesh,0.010
Luxembourg,Afghanistan,0.044
Luxembourg,Viet Nam,0.202
Luxembourg,Russia,0.001
Luxembourg,Tanzania,0.004
Luxembourg,Thailand,0.005
Luxembourg,Mozambique,0.008
Luxembourg,Turkey,0.000
Luxembourg,Nigeria,0.001
Luxembourg,Kenya,0.007
Luxembourg,Brazil,0.024
Luxembourg,Morocco,0.013
Luxembourg,"Congo, Democratic Republic of",0.035
Luxembourg,Mexico,0.000
Luxembourg,Ethiopia,0.014
Luxembourg,Sri Lanka,0.007
Luxembourg,Sudan,0.033
Luxembourg,Peru,0.020
Luxembourg,Zambia,0.001
Luxembourg,Ghana,0.001
Luxembourg,Jordan,0.000
Luxembourg,Colombia,0.020
Luxembourg,Tunisia,0.023
Luxembourg,Cameroon,0.005
Luxembourg,Cote d`Ivoire,0.006
Luxembourg,Uganda,0.007
Luxembourg,Bolivia,0.013
Luxembourg,Senegal,0.220
Luxembourg,Palestinian Adm. Areas,0.072
Luxembourg,Nicaragua,0.164
Luxembourg,South Africa,0.019
Luxembourg,Algeria,0.001
Luxembourg,Myanmar,0.004
Luxembourg,Mali,0.203
Luxembourg,Serbia,0.092
Luxembourg,Argentina,0.002
Luxembourg,Haiti,0.016
Luxembourg,Zimbabwe,0.007
Luxembourg,Nepal,0.016
Luxembourg,Burkina Faso,0.185
Luxembourg,Honduras,0.001
Luxembourg,El Salvador,0.149
Luxembourg,Malawi,0.008
Luxembourg,Madagascar,0.004
Luxembourg,Yemen,0.002
Luxembourg,Cambodia,0.004
Luxembourg,Somalia,0.011
Luxembourg,Venezuela,0.001
Luxembourg,Guatemala,0.004
Luxembourg,Angola,0.003
Luxembourg,Rwanda,0.075
Luxembourg,Syria,0.009
Luxembourg,Niger,0.135
Luxembourg,Bosnia-Herzegovina,0.002
Luxembourg,Lebanon,0.006
Luxembourg,"Congo, Republic of",0.003
Luxembourg,Ukraine,0.000
Luxembourg,Ecuador,0.023
Luxembourg,Jamaica,0.000
Luxembourg,Benin,0.025
Luxembourg,Dominican Republic,0.000
Luxembourg,Liberia,0.004
Luxembourg,Guinea,0.008
Luxembourg,Chile,0.005
Luxembourg,Laos,0.158
Luxembourg,Costa Rica,0.001
Luxembourg,Uzbekistan,0.001
Luxembourg,Iran,0.002
Luxembourg,Georgia,0.000
Luxembourg,Sierra Leone,0.004
Luxembourg,Chad,0.015
Luxembourg,Burundi,0.013
Luxembourg,Mauritania,0.000
Luxembourg,Albania,0.016
Luxembourg,Botswana,0.000
Luxembourg,Togo,0.008
Luxembourg,Mongolia,0.023
Luxembourg,Namibia,0.114
Luxembourg,Gabon,0.000
Luxembourg,Cape Verde,0.273
Luxembourg,Timor-Leste,0.002
Luxembourg,South Sudan,0.002
Luxembourg,Kazakhstan,0.001
Luxembourg,Armenia,0.000
Luxembourg,Paraguay,0.001
Luxembourg,Panama,0.000
Luxembourg,Azerbaijan,0.000
Luxembourg,Kosovo,0.050
Luxembourg,Kyrgyz Republic,0.000
Luxembourg,Lesotho,0.001
Luxembourg,Mauritius,0.003
Luxembourg,Cuba,0.002
Luxembourg,Central African Republic,0.005
Luxembourg,"Macedonia, FYR",0.000
Luxembourg,Guinea-Bissau,0.001
Luxembourg,Guyana,0.000
Luxembourg,Tajikistan,0.004
Luxembourg,Eritrea,0.001
Luxembourg,Croatia,0.000
Luxembourg,Moldova,0.003
Luxembourg,Djibouti,0.000
Luxembourg,Swaziland,0.002
Luxembourg,Uruguay,0.001
Luxembourg,Gambia,0.001
Luxembourg,Samoa,0.000
Luxembourg,Belize,0.000
Luxembourg,Turkmenistan,0.000
Luxembourg,Comoros,0.001
Luxembourg,Libya,0.000
Luxembourg,Belarus,0.000
Luxembourg,Maldives,0.000
Greece,Indonesia,0.001
Greece,India,0.001
Greece,Egypt,0.072
Greece,China,0.013
Greece,Iraq,0.031
Greece,Pakistan,0.010
Greece,Philippines,0.002
Greece,Bangladesh,0.003
Greece,Israel,0.001
Greece,Afghanistan,0.128
Greece,Viet Nam,0.001
Greece,Russia,0.006
Greece,Tanzania,0.002
Greece,Thailand,0.001
Greece,Mozambique,0.000
Greece,Turkey,0.061
Greece,Nigeria,0.013
Greece,Kenya,0.005
Greece,Brazil,0.006
Greece,Morocco,0.003
Greece,"Congo, Democratic Republic of",0.013
Greece,Mexico,0.001
Greece,Ethiopia,0.018
Greece,Sri Lanka,0.016
Greece,Sudan,0.016
Greece,Peru,0.001
Greece,Papua New Guinea,0.000
Greece,Zambia,0.001
Greece,Ghana,0.001
Greece,Jordan,0.030
Greece,Colombia,0.001
Greece,Poland,0.002
Greece,Tunisia,0.003
Greece,Cameroon,0.003
Greece,Cote d`Ivoire,0.003
Greece,Uganda,0.002
Greece,Bolivia,0.000
Greece,Malaysia,0.000
Greece,Senegal,0.001
Greece,Palestinian Adm. Areas,0.063
Greece,Nicaragua,0.000
Greece,South Africa,0.009
Greece,Algeria,0.001
Greece,Myanmar,0.002
Greece,Mali,0.000
Greece,Serbia,0.335
Greece,Argentina,0.004
Greece,Haiti,0.001
Greece,Zimbabwe,0.005
Greece,Nepal,0.000
Greece,Burkina Faso,0.000
Greece,Honduras,0.000
Greece,El Salvador,0.001
Greece,Malawi,0.002
Greece,Madagascar,0.001
Greece,Yemen,0.001
Greece,Cambodia,0.000
Greece,Somalia,0.002
Greece,Venezuela,0.001
Greece,Guatemala,0.000
Greece,Angola,0.001
Greece,Rwanda,0.000
Greece,Syria,0.045
Greece,Niger,0.001
Greece,Bosnia-Herzegovina,0.070
Greece,Lebanon,0.045
Greece,"Congo, Republic of",0.006
Greece,Ukraine,0.040
Greece,Jamaica,0.000
Greece,Benin,0.001
Greece,Dominican Republic,0.000
Greece,Liberia,0.001
Greece,Guinea,0.000
Greece,Chile,0.001
Greece,Laos,0.000
Greece,Costa Rica,0.000
Greece,Uzbekistan,0.004
Greece,Iran,0.010
Greece,Georgia,0.041
Greece,Sierra Leone,0.001
Greece,Chad,0.003
Greece,Burundi,0.001
Greece,Mauritania,0.001
Greece,Albania,0.558
Greece,Botswana,0.000
Greece,Togo,0.000
Greece,Mongolia,0.000
Greece,Namibia,0.000
Greece,Cape Verde,0.000
Greece,Timor-Leste,0.000
Greece,Solomon Islands,0.000
Greece,Kazakhstan,0.004
Greece,Armenia,0.033
Greece,Panama,0.000
Greece,Azerbaijan,0.003
Greece,Kosovo,0.034
Greece,Kyrgyz Republic,0.001
Greece,Lesotho,0.000
Greece,Mauritius,0.001
Greece,Cuba,0.001
Greece,Central African Republic,0.000
Greece,"Macedonia, FYR",0.109
Greece,Guinea-Bissau,0.000
Greece,Guyana,0.000
Greece,Tajikistan,0.001
Greece,Eritrea,0.003
Greece,Croatia,0.002
Greece,Moldova,0.023
Greece,Djibouti,0.001
Greece,Bhutan,0.000
Greece,Swaziland,0.000
Greece,Uruguay,0.001
Greece,Gambia,0.000
Greece,Samoa,0.000
Greece,Belize,0.000
Greece,Turkmenistan,0.000
Greece,Comoros,0.000
Greece,Libya,0.006
Greece,Belarus,0.002
Greece,Maldives,0.000
