country,purpose,latitude,longitude,amount,radius,color
Ukraine,agricultural development,48.379433,31.16558,0.104,2,2
Suriname,agricultural development,3.919305,-56.027783,0.097,1,2
Timor-Leste,agricultural development,-8.874217,125.727539,0.095,1,2
Greece,agricultural development,39.074208,21.824312,0.091,1,2
Grenada,agricultural development,12.262776,-61.604171,0.080,1,2
Latvia,agricultural development,56.879635,24.603189,0.076,1,2
Moldova,agricultural development,47.411631,28.369885,0.075,1,2
Serbia,agricultural development,44.016521,21.005859,0.068,1,2
Cuba,agricultural development,21.521757,-77.781167,0.060,1,2
Turkmenistan,agricultural development,38.969719,59.556278,0.052,1,2
Kosovo,agricultural development,42.602636,20.902977,0.042,1,2
Barbados,agricultural development,13.193887,-59.543198,0.042,1,2
Vanuatu,agricultural development,-15.376706,166.959158,0.039,1,2
Czech Republic,agricultural development,49.817492,15.472962,0.038,1,2
Croatia,agricultural development,45.1,15.2,0.034,1,2
Tonga,agricultural development,-21.178986,-175.198242,0.029,1,2
New Caledonia,agricultural development,-20.904305,165.618042,0.027,1,2
Djibouti,agricultural development,11.825138,42.590275,0.026,1,2
Seychelles,agricultural development,-4.679574,55.491977,0.024,1,2
Estonia,agricultural development,58.595272,25.013607,0.021,1,2
Guadeloupe,agricultural development,16.995971,-62.067641,0.019,1,2
Iceland,agricultural development,64.963051,-19.020835,0.019,1,2
Martinique,agricultural development,14.641528,-61.024174,0.018,1,2
Montserrat,agricultural development,16.742498,-62.187366,0.010,1,2
Montenegro,agricultural development,42.708678,19.37439,0.010,1,2
Malta,agricultural development,35.937496,14.375416,0.009,1,2
Kiribati,agricultural development,-3.370417,-168.734039,0.009,1,2
Libya,agricultural development,26.3351,17.228331,0.009,1,2
Bahamas,agricultural development,25.03428,-77.39628,0.006,1,2
French Polynesia,agricultural development,-17.679742,-149.406843,0.006,1,2
Maldives,agricultural development,3.202778,73.22068,0.004,1,2
Oman,agricultural development,21.512583,55.923255,0.002,1,2
Tuvalu,agricultural development,-7.109535,177.64933,0.002,1,2
United Arab Emirates,agricultural development,23.424076,53.847818,0.002,1,2
Cook Islands,agricultural development,-21.236736,-159.777671,0.002,1,2
Niue,agricultural development,-19.054445,-169.867233,0.002,1,2
Marshall Islands,agricultural development,7.131474,171.184478,0.002,1,2
Bahrain,agricultural development,25.930414,50.637772,0.002,1,2
Nauru,agricultural development,-0.522778,166.931503,0.001,1,2
Palau,agricultural development,7.51498,134.58252,0.001,1,2
Cayman Islands,agricultural development,19.513469,-80.566956,0.001,0.5,2
Belarus,agricultural development,53.709807,27.953389,0.000,0.5,2
Netherlands Antilles,agricultural development,12.226079,-69.060087,0.000,0.5,2
Kuwait,agricultural development,29.31166,47.481766,0.000,0.5,2
Mayotte,agricultural development,-12.8275,45.166244,0.000,0.5,2
Anguilla,agricultural development,18.220554,-63.068615,0.000,0.5,2
French Guiana,agricultural development,3.933889,-53.125782,0.000,0.5,2
France,agricultural development,46.227638,2.213749,0.000,0.5,2
