country,purpose,latitude,longitude,amount,radius,color
Latvia,multisector aid,56.879635,24.603189,0.163,2,2
Gambia,multisector aid,13.443182,-15.310139,0.163,2,2
Djibouti,multisector aid,11.825138,42.590275,0.160,2,2
Bhutan,multisector aid,27.514162,90.433601,0.155,2,2
Liberia,multisector aid,6.428055,-9.429499,0.155,2,2
Gabon,multisector aid,-0.803689,11.609444,0.154,2,2
Belize,multisector aid,17.189877,-88.49765,0.152,2,2
Barbados,multisector aid,13.193887,-59.543198,0.146,2,2
Palau,multisector aid,7.51498,134.58252,0.141,2,2
Libya,multisector aid,26.3351,17.228331,0.132,2,2
Greece,multisector aid,39.074208,21.824312,0.122,2,2
Central African Republic,multisector aid,6.611111,20.939444,0.121,2,2
Solomon Islands,multisector aid,-9.64571,160.156194,0.119,2,2
Eritrea,multisector aid,15.179384,39.782334,0.114,2,2
Turkmenistan,multisector aid,38.969719,59.556278,0.109,2,2
Finland,multisector aid,61.92411,25.748151,0.101,2,2
Cuba,multisector aid,21.521757,-77.781167,0.100,1,2
Vanuatu,multisector aid,-15.376706,166.959158,0.093,1,2
Kiribati,multisector aid,-3.370417,-168.734039,0.093,1,2
Grenada,multisector aid,12.262776,-61.604171,0.093,1,2
Swaziland,multisector aid,-26.522503,31.465866,0.089,1,2
Fiji,multisector aid,-16.578193,179.414413,0.089,1,2
Samoa,multisector aid,-13.759029,-172.104629,0.088,1,2
Seychelles,multisector aid,-4.679574,55.491977,0.083,1,2
Tonga,multisector aid,-21.178986,-175.198242,0.082,1,2
Belarus,multisector aid,53.709807,27.953389,0.078,1,2
Comoros,multisector aid,-11.875001,43.872219,0.074,1,2
Czech Republic,multisector aid,49.817492,15.472962,0.073,1,2
Montenegro,multisector aid,42.708678,19.37439,0.069,1,2
Malta,multisector aid,35.937496,14.375416,0.064,1,2
Dominica,multisector aid,15.414999,-61.370976,0.063,1,2
Cyprus,multisector aid,35.126413,33.429859,0.060,1,2
Bahamas,multisector aid,25.03428,-77.39628,0.057,1,2
Japan,multisector aid,36.204824,138.252924,0.057,1,2
Turks and Caicos Islands,multisector aid,21.694025,-71.797928,0.051,1,2
Equatorial Guinea,multisector aid,1.650801,10.267895,0.049,1,2
Gibraltar,multisector aid,36.137741,-5.345374,0.048,1,2
Estonia,multisector aid,58.595272,25.013607,0.046,1,2
Aruba,multisector aid,12.52111,-69.968338,0.045,1,2
Saudi Arabia,multisector aid,23.885942,45.079162,0.039,1,2
Maldives,multisector aid,3.202778,73.22068,0.034,1,2
Anguilla,multisector aid,18.220554,-63.068615,0.030,1,2
Mayotte,multisector aid,-12.8275,45.166244,0.030,1,2
Iceland,multisector aid,64.963051,-19.020835,0.028,1,2
Montserrat,multisector aid,16.742498,-62.187366,0.024,1,2
Cook Islands,multisector aid,-21.236736,-159.777671,0.020,1,2
Niue,multisector aid,-19.054445,-169.867233,0.015,1,2
Tuvalu,multisector aid,-7.109535,177.64933,0.013,1,2
Nauru,multisector aid,-0.522778,166.931503,0.011,1,2
Cayman Islands,multisector aid,19.513469,-80.566956,0.006,1,2
Taiwan,multisector aid,23.69781,120.960515,0.006,1,2
United Arab Emirates,multisector aid,23.424076,53.847818,0.000,0.5,2
Kuwait,multisector aid,29.31166,47.481766,0.000,0.5,2
Brunei,multisector aid,4.535277,114.727669,0.000,0.5,2
Qatar,multisector aid,25.354826,51.183884,0.000,0.5,2
United States,multisector aid,37.09024,-95.712891,0.000,0.5,2
