purpose,year,amount,rank
Rail Transport,1963,1.0841,7
Rail Transport,1964,1.6857,7
Rail Transport,1965,0.6650,7
Rail Transport,1966,0.6042,7
Rail Transport,1967,0.5315,7
Rail Transport,1968,0.5859,7
Rail Transport,1969,0.7958,7
Rail Transport,1970,0.6651,7
Rail Transport,1971,1.8288,7
Rail Transport,1972,1.2051,7
Rail Transport,1973,1.2448,7
Rail Transport,1974,2.3654,7
Rail Transport,1975,2.7607,7
Rail Transport,1976,1.2417,7
Rail Transport,1977,1.5924,7
Rail Transport,1978,2.5688,7
Rail Transport,1979,1.6142,7
Rail Transport,1980,2.9858,7
Rail Transport,1981,1.8028,7
Rail Transport,1982,4.6284,7
Rail Transport,1983,3.2853,7
Rail Transport,1984,3.6479,7
Rail Transport,1985,3.8972,7
Rail Transport,1986,2.4341,7
Rail Transport,1987,2.4002,7
Rail Transport,1988,2.6937,7
Rail Transport,1989,2.6175,7
Rail Transport,1990,2.6188,7
Rail Transport,1991,3.3321,7
Rail Transport,1992,1.8514,7
Rail Transport,1993,2.4862,7
Rail Transport,1994,2.4857,7
Rail Transport,1995,2.7494,7
Rail Transport,1996,3.6247,7
Rail Transport,1997,3.5920,7
Rail Transport,1998,2.3610,7
Rail Transport,1999,2.2690,7
Rail Transport,2000,2.4967,7
Rail Transport,2001,4.1768,7
Rail Transport,2002,2.7807,7
Rail Transport,2003,2.9447,7
Rail Transport,2004,2.1792,7
Rail Transport,2005,3.0322,7
Rail Transport,2006,2.9983,7
Rail Transport,2007,2.7071,7
Rail Transport,2008,5.9446,7
Rail Transport,2009,5.5348,7
Rail Transport,2010,9.4027,7
Rail Transport,2011,2.5921,7
Rail Transport,2012,5.2616,7
Rail Transport,2013,5.8034,7
